0,"雪合戦で相手チームを倒せ"
1,"看板を塗りつぶせ"
2,"百面相しろ"
3,"ジャックハンマーで彫刻を完成させろ"
4,"巨大雪だるまを作れ"
5,"カキ氷作り競争"
6,"ペンギンの持っている的にボールを当てろ"
7,"巨大風船をふくらませろ"
8,"変なものを集めろ"
9,"審判のまねをしろ"
10,"全員で踊れ グリーン"
11,"全員で踊れ イエロー"
12,"虹色アフロ"
13,"ヒゲ鼻メガネ"
14,"妖精のつばさ"
15,"エレキギター・黒"
16,"魔法のつえ"
17,"ウサギのスリッパ"
18,"Disney's Club Penguin: Game Day!"
19,"パッフルパドル"
20,"フィードアパッフル"
21,"ゴーゴーストップ"
22,"ホッケー"
23,"ボブスレー"
24,"ジャバサックレース"
25,"ゆきがっせん"
26,"ダンシング"
27,"ゆきだまころがし"
28,"コーヒーバックタワー"
29,"すもう"
30,"ドリルでおえかき"
31,"Griffinators"
32,"Lotzataters"
33,"Stantastic"
34,"123sparkled"
35,"Buzzeziki"
36,"Gigglebunnie"
37,"Stuckinatree"
38,"Redredpink"
39,"Racingwheel"
40,"Starlite"
41,"Tannerific1"
42,"Formalfran"
43,"Inzeair"
44,"Parkslolly"
45,"Pengs4all"
46,"Hockeyb01"
47,"Laughlollol"
48,"Rabbleroost"
49,"Thaneethan"
50,"Sprink1donut"
51,"Smiles4goose"
52,"Joyfu11"
53,"Orangesmile6"
54,"The Rhyme"
55,"Peacesam1"
56,"50chips"
57,"Musicaljazz"
58,"Pinkyunicorn"
59,"Chazzzerific"
60,"Fizzy2fairy"
61,"Notherone"
62,"Singsof"
63,"Guest 1"
64,"Guest 2"
65,"Guest 3"
66,"Guest 4"
67,"Referee"
68,"Dock Referee"
69,"Beach Referee"
70,"Town Referee"
71,"Snow Forts Referee"
72,"Ski Village Referee"
73,"Ski Hill Referee"
74,"Tour Guide"
75,"Tour Guide"
76,"Tour Guide"
77,"Tour Guide"
78,"Tour Guide"
79,"Tour Guide"
80,"Tour Guide"
81,"It"
82,"Gift Shop Penguin"
83,"Coffee Shop Penguin"
84,"Aunt Arctic"
85,"Gary the Gadget Guy"
86,"Cadence"
87,"Rory"
88,"Sensei"
89,"Rookie"
90,"Jeff the Ref"
91,"メインストリート"
92,"スキーむら"
93,"もり"
94,"ゆきのとりで"
95,"スキーじょう"
96,"みずうみ"
97,"ひょうざん"
98,"アイスリンク"
99,"ビーチ"
100,"ふとう"
101,"どうじょう"
102,"こうざん"
103,"いりえ"
104,"プラザどおり"
105,"メンバーのイグルー"
106,"Club Penguin"
107,"DEVELOPED BY"
108,"Senior Producer"
109,"Producer"
110,"Director/Lead Game Designer"
111,"Art Director"
112,"Senior Programmer"
113,"Lead Programmer"
114,"Lead Animator"
115,"Lead Artist"
116,"Game Designers"
117,"Artists"
118,"Programmers"
119,"Overseas Liaison"
120,"PUBLISHED BY"
121,"PRODUCTION"
122,"Executive Producer"
123,"Producer"
124,"Associate Producer"
125,"Manager, Technology"
126,"Senior Artist"
127,"Senior Localization Manager"
128,"Localization Producer"
129,"Director, Production Operations"
130,"MARKETING"
131,"Senior Global Brand Manager"
132,"Global Brand Manager"
133,"Associate Global Brand Manager"
134,"Director, Creative Services"
135,"Senior Manager, Creative Services"
136,"Design Services Manager"
137,"Online Manager"
138,"PR Manager"
139,"Associate PR Manager"
140,"PR Coordinator"
141,"Senior Manager, Operations"
142,"Senior Manager, Consumer Insights"
143,"Manager, Consumer Insights"
144,"EUROPEAN  MARKETING"
145,"Senior Marketing Manager"
146,"Product Manager"
147,"Manager, Online Marketing"
148,"Director of Online Marketing"
149,"PR Manager, North America"
150,"Creative Services"
151,"1st PARTY RELATIONS"
152,"Manager, 1st Party Relations"
153,"QUALITY ASSURANCE"
154,"Quality Assurance Project Lead - US"
155,"Quality Assurance Associate Lead - US"
156,"Quality Assurance Sr. Testers"
157,"Quality Assurance Testers - US"
158,"Quality Assurance Certification Lead - US"
159,"Software Engineer"
160,"Senior Quality Assurance Project Lead - Europe"
161,"Quality Assurance Certification Supervisor - US"
162,"Quality Assurance Supervisors"
163,"Quality Assurance Manager - US"
164,"Quality Assurance Manager - Europe"
165,"Director of Quality Assurance"
166,"Project Supervisor Quality Assurance"
167,"Tech Ops, Coordinator"
168,"Mastering Technician"
169,"欠番"
170,"Creative Development"
171,"Producer, Creative Development"
172,"Associate Producer, Creative Development"
173,"Lead Product Evaluator"
174,"Game Analyst"
175,"Director, Creative Development"
176,"SPECIAL THANKS"
177,"Disney Interactive Studios"
178,"Graduate Brand Associate"
179,"Associate Traffic Manager"
180,"Quality Assurance Project Leads - Europe"
181,"Quality Assurance Sr. Tester - Localization"
182,"Quality Assurance Testers - Europe"
183,"Quality Assurance Localisation Testers"
184,"The Club Penguin Team"
185,"Published by Disney Interactive Studios"
186,"{{X}}Q{{X}} 2010 Disney."
187,"Credits"
188,"Red Spikester"
189,"Blue Ball Cap"
190,"Green Propellor Cap"
191,"Gold Viking Helmet"
192,"Red Face Paint"
193,"Blue Face Paint"
194,"Green Face Paint"
195,"Yellow Face Paint"
196,"Gold Medal"
197,"Silver Whistle"
198,"Red Hockey Jersey"
199,"Blue Hockey Jersey"
200,"Green Hockey Jersey"
201,"Yellow Hockey Jersey"
202,"Red Cheerleader Outfit"
203,"Blue Cheerleader Outfit"
204,"Green Cheerleader Outfit"
205,"Yellow Cheerleader Outfit"
206,"Referee Jersey"
207,"White Pom-Poms"
208,"Red Sneakers"
209,"Blue Sneakers"
210,"Green Sneakers"
211,"Yellow Sneakers"
212,"Red Background"
213,"Blue Background"
214,"Green Background"
215,"Yellow Background"
216,"Blue"
217,"Green"
